	author	title	journal	year	Volume	issue	page	Freq
513	Schumpeter,Joseph A	Theory of economic development: an inquiry into profits, capital, credit, interest, and the business cycle	Beijing:The Commercial Press	NA	NA	NA	NA	1
514	Scott,J_	Social network analysis: A handbook (2nd edition)	California:Sage Publications	NA	NA	NA	NA	1
515	SCOTT,W_R_	Institutions and Organizations	Thousand Oaks:Sage Publications	NA	NA	NA	NA	1
516	Scott,W_R_	Reflections on a Half Century of Organizational Sociology	Annual Review of Sociology	2004		30	NA	1
517	Sebastiani,Fabrizio	Text categorization:Text Mining and Its Applications	Southampton:WIT Press,2005:109-129	NA	NA	NA	NA	1
518	Seglen,P O	Why the impact factor of journals should not be used for evaluating research	British Medical Journal	1997	314	7079	NA	1
519	Seglen,P_O_	Skewness of science	Journal of the American Society for Information Science	1992		9	NA	1
520	Sense,Andrew J_	Structuring the Project Environment for Learing Internation	2013	NA	NA	NA	NA	1
521	Shaw,A_W_	Some problems in market distribution: Illustrating the application of a basic philosophy of business	Cambridge:Harvard University Press	NA	NA	NA	NA	1
522	Sheldon,K_M_	Why positive psychology is necessary	American Psychologist	2001	56	3	NA	1
523	Shotton,D	Semantic publishing: The coming revolution in scientific journal publishing	Learned Publishing	2009	22	2	NA	1
524	SINGHAL,A_	Introducing the knowledge graph: things, not strings	2017	NA	NA	NA	NA	1
525	Sirakaya,E_	Redefining ecotourism: The need for a supply-side view	Journal of Travel Research	1999	38	2	NA	1
526	Small, H_	Relationship of information science to the social science: A co-citation analysis	Information Processing and Management	1980	17	NA	NA	1
527	SMALL, H_	Relationship of information science to the social science: A co-citation analysis	Information Processing and Management	1980	17	NA	NA	1
528	Small,H_	Co-citation in scientific literature a new measure of the relationship between publication	Journal of the America Society of Information Science	1973	24	4	NA	1
529	Small,H_	Co-citation in the scientific literature: A new measure of the relationship between two documents	Journal of the American Society for information Science	1973		4	NA	1
530	Small,H_	Relationship of information science to the social science: A co-citation analysis	Information Processing and Management	1980		17	39-50	1
531	Small,H_	Relationship of information science to the social science:A co-citation analysis	Information Processing and Management	1980	17	NA	39-50	1
532	Small,H_G_	Structure of scientific literature	I:Identifying and graphing specialities	Science Studies	1974	NA	NA	1
533	Smith,M_	DSpace: An institutional repository from the MIT Libraries and Hewlett Packard Laboratories	NA	NA	NA	NA	NA	1
534	Solomon,S_	Irreversible climate change due to carbon dioxide emissions	PNAS	2009	106	6	NA	1
535	Spinello,R_A_	Knowledge chain	Business Horizons	1998	41	6	NA	1
536	Stepan,Matthias	Welfare governance in China? A Conceptual Discussion of Governing Social Policies and the Applicability of the Concept to Contemporary China	Journal of Cambridge Studies	2012	7	July	NA	1
537	Su,Xin-Ning	Developing the Chinese sociai Science citationg index	Online Information Eeview	2001	25	6	365-369	1
538	SVEDBOM,A	Osteoporosis in the European Union: a compendium of country-specific reports	Arch Osteoporos	2013	8	1-2	NA	1
539	Svensson, G_	Scientific Identity of “Top” Research Journals in the Broader Discipline of Marketing	European Business Review	2008		5	NA	1
